title,start_year,runtime_minutes,genres,id,release_date,production_budget,domestic_gross,worldwide_gross
Home,2012,3.0,Documentary,44,"Mar 27, 2015","$130,000,000",177397510.0,385997896.0
Home,2012,3.0,Biography,56,"Jun 5, 2009","$12,000,000",0.0,0.0
Home,2012,3.0,Documentary,56,"Jun 5, 2009","$12,000,000",0.0,0.0
Home,2012,3.0,Biography,60,"Apr 23, 2009","$500,000",15433.0,44793168.0
Home,2012,3.0,Documentary,60,"Apr 23, 2009","$500,000",15433.0,44793168.0
Home,2013,92.0,Drama,44,"Mar 27, 2015","$130,000,000",177397510.0,385997896.0
Home,2013,92.0,Drama,56,"Jun 5, 2009","$12,000,000",0.0,0.0
Home,2013,92.0,Drama,60,"Apr 23, 2009","$500,000",15433.0,44793168.0
Home,2012,26.0,Documentary,44,"Mar 27, 2015","$130,000,000",177397510.0,385997896.0
Home,2012,26.0,History,44,"Mar 27, 2015","$130,000,000",177397510.0,385997896.0
Home,2012,26.0,Documentary,56,"Jun 5, 2009","$12,000,000",0.0,0.0
Home,2012,26.0,History,56,"Jun 5, 2009","$12,000,000",0.0,0.0
Home,2012,26.0,Documentary,60,"Apr 23, 2009","$500,000",15433.0,44793168.0
Home,2012,26.0,History,60,"Apr 23, 2009","$500,000",15433.0,44793168.0
Home,2012,70.0,Documentary,44,"Mar 27, 2015","$130,000,000",177397510.0,385997896.0
Home,2012,70.0,Documentary,56,"Jun 5, 2009","$12,000,000",0.0,0.0
Home,2012,70.0,Documentary,60,"Apr 23, 2009","$500,000",15433.0,44793168.0
Home,2016,103.0,Drama,44,"Mar 27, 2015","$130,000,000",177397510.0,385997896.0
Home,2016,103.0,Drama,56,"Jun 5, 2009","$12,000,000",0.0,0.0
Home,2016,103.0,Drama,60,"Apr 23, 2009","$500,000",15433.0,44793168.0
